date,Trump,Cruz,Kasich,Bush,Carson,Christie,Fiorina,Gilmore,Huckabee,Paul,Rubio,Santorum,Undecided
2016-01-03,36.39694444444444,18.459722222222222,3.4480555555555568,5.055833333333333,8.19611111111111,3.201944444444444,2.3761111111111113,0.02666666666666667,1.6583333333333334,1.7775,12.257222222222223,0.7738888888888888,6.371666666666639
2016-01-06,38.67938888888889,17.942833333333336,3.831,5.220444444444444,7.929444444444445,2.8746111111111112,1.7611111111111113,0.016666666666666666,1.62,3.0995,10.677833333333332,0.7780555555555555,5.569111111111125
2016-01-07,36.448277777777776,20.077,3.9235000000000007,3.584888888888889,8.677777777777779,1.7846111111111111,2.347777777777778,0.02666666666666667,0.92,1.7311666666666667,12.363944444444444,0.0963888888888889,8.018
2016-01-08,35.65911111111111,18.857,4.004333333333334,3.4432222222222224,7.233333333333333,3.039333333333333,1.6083333333333334,0.02,0.8733333333333333,2.283666666666667,9.910888888888888,0.065,13.002444444444444
2016-01-10,39.09005555555555,18.204944444444447,4.122055555555556,4.280388888888888,7.304444444444443,2.6437222222222223,2.0105555555555554,0.015,1.97,1.9221666666666666,10.833555555555556,0.2836111111111111,7.3194999999999855
2016-01-11,36.97011111111111,20.0335,4.491888888888889,4.1805,5.966666666666667,3.0602222222222224,2.2872222222222223,0.025,2.2283333333333335,2.3226666666666667,11.287388888888891,1.4027777777777777,5.743722222222209
2016-01-13,36.74288888888889,17.919055555555556,3.8493888888888885,6.0568888888888885,9.749444444444443,3.528277777777778,2.3844444444444446,0.02,1.6583333333333334,2.451833333333333,9.954611111111111,0.7830555555555555,4.901777777777792
2016-01-17,38.535555555555554,17.674722222222222,3.2947222222222226,4.750555555555555,7.668888888888889,2.6088888888888886,2.0938888888888894,0.03666666666666667,1.995,2.52,10.678333333333333,0.4569444444444445,7.6858333333333615
2016-01-18,36.92172222222222,17.932166666666664,4.454,4.1834444444444445,7.413888888888889,2.390388888888889,0.9755555555555556,0.008333333333333333,2.2316666666666665,1.6421666666666666,11.507722222222222,0.7511111111111112,9.587833333333304
2016-01-19,38.382333333333335,19.452944444444444,3.7988333333333335,2.8146666666666667,6.7,2.4410555555555553,1.6772222222222224,0.018333333333333333,1.5983333333333334,3.0685,13.07238888888889,0.7636111111111111,6.211777777777764
2016-01-20,40.049,14.967944444444443,4.129388888888888,6.474111111111111,6.916111111111111,2.550222222222222,2.377222222222222,0.695,1.6433333333333333,2.4259999999999997,8.88711111111111,0.7844444444444445,8.10011111111114
2016-01-21,35.38927777777778,19.69461111111111,4.719111111111111,3.6741111111111113,7.682777777777778,2.5349444444444447,1.056111111111111,0.6933333333333334,1.625,1.8034999999999999,11.2635,0.11805555555555555,9.745666666666681
2016-01-24,38.003388888888885,17.645777777777777,3.891222222222223,4.478722222222222,8.131666666666666,2.595111111111111,1.6777777777777778,0.02,1.6283333333333334,2.046333333333333,9.987166666666667,0.2897222222222222,9.604777777777791
2016-01-26,35.36416666666667,14.700555555555553,5.0625,5.616666666666666,8.193333333333333,1.8261111111111112,1.7161111111111111,0.025,2.2533333333333334,2.4383333333333335,13.211111111111112,0.7588888888888888,8.833888888888874
2016-01-27,33.5675,20.54722222222222,3.6672222222222217,4.396944444444444,8.175,1.195,1.6916666666666667,0.03166666666666667,0.96,3.115,10.538611111111111,0.7633333333333333,11.350833333333362
2016-01-30,41.801722222222224,18.617166666666666,5.6848333333333345,3.6709444444444443,4.79111111111111,1.7692777777777777,1.676111111111111,0.6866666666666666,1.5683333333333334,3.0338333333333334,13.378,0.7755555555555556,2.5464444444444583
2016-01-31,39.10766666666667,20.027055555555556,4.510888888888889,2.987277777777778,6.6577777777777785,2.5164444444444443,1.7211111111111113,0.03166666666666667,1.5733333333333333,2.4040000000000004,11.758166666666666,0.7730555555555555,5.9315555555555415
2016-02-01,40.262277777777776,14.816333333333333,3.777888888888889,5.6565,7.963333333333333,2.5012222222222222,1.028888888888889,0.028333333333333332,2.296666666666667,2.4313333333333333,8.951055555555556,0.783611111111111,9.502555555555555
2016-02-03,34.81872222222222,18.20627777777778,4.858555555555555,4.8035555555555565,8.29388888888889,2.902166666666666,2.123333333333333,0.35,,2.6784999999999997,14.182944444444445,0.3008333333333333,6.481222222222246
2016-02-04,33.7225,20.613333333333333,5.5008333333333335,3.348333333333333,5.726111111111111,2.4786111111111113,2.007777777777778,0.04,,,17.02305555555556,,9.539444444444447
2016-02-07,37.11011111111111,18.88738888888889,3.8455000000000004,4.1385555555555555,7.55888888888889,2.5588333333333333,1.7216666666666667,0.021666666666666667,,,14.409611111111111,,9.747777777777777
2016-02-10,36.07677777777778,21.743777777777776,3.2655,5.937722222222222,9.71,2.624388888888889,2.4355555555555557,0.023333333333333334,,,13.378777777777778,,4.804166666666667
2016-02-11,42.22933333333333,17.840944444444442,4.795055555555556,6.481444444444445,8.87,,,0.03333333333333333,,,10.468722222222222,,9.281166666666667
2016-02-14,38.19777777777777,18.908888888888885,7.072222222222223,3.7083333333333335,7.451666666666667,,,,,,13.016666666666667,,11.644444444444458
2016-02-15,37.96677777777777,19.462944444444442,7.745222222222222,4.602166666666665,5.482777777777778,,,,,,15.21683333333333,,9.523277777777789
2016-02-16,36.23005555555555,19.48772222222222,7.189277777777778,4.388166666666667,8.821111111111112,,,,,,13.468277777777777,,10.415388888888915
2016-02-17,37.50633333333333,19.315888888888885,7.467944444444444,,9.101666666666668,,,,,,12.864777777777778,,13.74338888888888
2016-02-21,36.843777777777774,19.274833333333333,7.610611111111111,,7.456111111111111,,,,,,14.72761111111111,,14.08705555555557
